,surface_tmp_1h
9405,0.6
11015,5.5
21165,4.7
10498,7.7
7617,13.2
22465,-2.2
7696,1.6
7329,-11.0
20214,4.4
20188,6.0
28158,9.0
23219,1.6
22013,19.4
7332,-11.1
16765,1.7
19294,21.3
21286,6.0
14496,0.0
9751,13.0
15900,11.6
1492,14.3
21413,12.0
28111,-1.5
28337,29.3
19281,19.8
17151,1.9
21481,11.2
14629,17.4
10292,4.7
14638,18.5
4198,5.7
4749,7.9
15947,10.4
24254,8.1
11675,-3.2
12974,-3.9
10677,-2.8
2589,-8.4
8053,-7.7
8499,-0.6
16642,12.4
14803,4.9
13533,0.0
27514,11.2
24217,10.2
23291,18.1
10482,10.4
10218,-5.1
24886,15.4
24174,14.4
1207,-6.1
5106,-11.4
24482,-0.7
7333,-11.1
24121,25.0
23241,6.4
22179,9.8
26847,21.4
3680,-2.8
13511,0.8
19251,15.1
558,-4.5
4558,-8.0
2289,1.7
11918,10.9
22522,-3.0
23825,-4.6
16833,-0.6
9572,8.2
4269,2.5
18858,4.0
20394,-1.7
15026,-3.4
792,12.2
27823,5.5
26945,29.9
27913,1.7
4751,7.7
4503,-5.8
16797,0.6
17627,4.3
14577,6.3
23005,-3.0
9865,1.3
19173,0.2
15702,4.5
15448,11.3
27763,9.3
11454,-4.1
25976,-2.9
20015,12.1
20322,0.0
25896,-1.8
20984,4.7
9037,18.9
21655,6.9
21139,4.6
15612,6.3
21123,4.7
19252,15.2
28188,17.0
28404,16.8
19571,3.8
7678,3.6
19250,15.2
5437,8.9
787,13.0
20148,10.6
11303,1.0
6012,-3.8
19428,17.5
1900,-0.8
26323,11.7
9472,-1.2
12126,-2.7
26256,25.4
9773,9.6
18086,10.3
27101,7.6
27615,30.9
7291,-10.3
3514,1.3
27936,0.9
16902,-2.0
1658,2.9
13185,12.9
16984,-3.0
6917,7.7
19163,0.0
3043,-2.2
14901,-0.3
21272,5.4
2789,15.3
15929,11.4
1054,-4.4
1277,-6.3
28499,9.2
14661,21.3
28119,-0.5
7111,-6.8
13054,-4.7
20844,14.8
14330,-2.4
2221,11.3
21735,6.4
12195,-4.1
27346,-1.9
1540,8.2
19951,5.6
10926,-2.2
11314,0.4
6138,1.1
27100,7.6
15316,21.6
18659,24.0
5290,-13.2
16708,5.0
12292,-5.4
3923,-0.8
15595,6.4
26518,-0.2
9629,16.8
26244,26.7
14554,2.8
17371,10.4
17437,7.1
7919,-6.5
28506,9.1
2527,-7.4
10624,-1.0
17711,3.3
23248,8.1
28238,27.1
11830,20.6
26914,29.9
20149,10.6
3464,4.3
21533,8.9
12535,20.7
8197,0.9
8972,15.8
26702,-3.9
27770,8.8
8298,13.3
25559,22.2
21588,7.8
26068,6.4
4154,9.6
12907,-2.9
17821,7.9
26417,3.7
7806,-4.2
27571,25.0
5705,-6.7
2226,9.9
20073,14.4
17676,3.9
23427,17.9
15512,8.0
14283,-1.3
14249,-0.7
1310,-2.8
1593,5.5
8028,-7.9
11225,7.8
4206,5.3
6561,-8.5
20180,6.9
12626,13.3
18497,2.0
9699,21.2
5140,-11.9
21157,4.6
22242,4.4
11909,12.4
9743,15.8
24365,5.1
21836,5.1
10652,-1.8
24302,7.0
23656,-1.4
28562,8.0
12777,0.3
7292,-10.3
28305,32.0
5850,-6.9
19902,4.4
17654,4.0
5865,-7.0
17271,16.8
24195,11.9
14621,16.3
13378,9.4
4341,-0.1
7651,7.7
20911,9.6
2420,-4.4
3689,-2.6
15229,4.7
28276,31.7
3217,0.5
23836,-4.7
27094,8.2
22686,17.0
17286,15.3
6452,-4.8
14594,9.7
22913,-1.0
27647,32.5
6331,-2.1
22106,23.5
13178,11.9
13699,-2.6
21795,5.4
10718,-3.1
19853,3.0
25641,8.6
9979,-2.5
18749,13.5
13863,6.3
17490,6.0
10160,-5.4
9499,-1.6
25549,21.9
777,14.9
27435,-3.0
8571,-2.8
17207,9.9
10463,13.2
21774,5.5
28205,20.6
21926,5.7
20818,18.2
20080,14.4
20419,-1.7
13025,-4.3
16952,-2.7
39,12.7
2123,14.2
17796,5.4
24344,6.1
23606,0.4
27426,-3.0
4916,-5.7
27681,24.1
20296,0.9
4315,1.0
18266,5.0
10896,-2.3
12929,-3.3
477,-3.4
8359,8.8
648,7.7
1060,-4.5
11116,19.6
12850,-1.9
21839,5.1
22170,11.2
8474,0.7
26574,-1.8
27444,-2.7
7061,-5.7
11528,-5.3
13664,-2.3
2771,13.6
8589,-3.3
3036,-2.4
25044,4.2
4141,11.2
7034,-4.8
23820,-4.5
17488,6.0
25322,2.3
5503,11.6
1979,-1.8
21302,6.5
22436,-1.8
26864,24.7
769,16.0
28284,31.8
25411,20.0
2863,14.0
26544,-0.9
11473,-4.3
10289,4.3
13909,12.7
12026,1.1
27268,0.0
9604,13.6
25905,-1.8
9903,-0.4
19094,-0.3
22863,0.8
8394,5.8
24864,18.3
28140,4.5
15287,15.8
20395,-1.7
10759,-2.8
26272,22.4
13516,0.7
2884,9.1
18972,0.4
11884,17.1
12164,-3.5
2348,-2.0
8731,-5.3
25872,-1.3
23516,5.2
26085,10.4
4119,14.3
18336,2.6
4212,5.2
21933,5.6
26383,5.8
7595,14.2
19536,5.9
22570,-3.2
19997,12.2
17168,3.3
11788,17.1
6520,-7.3
4377,-1.1
2073,7.4
8081,-8.4
18990,0.1
12300,-5.5
13106,-1.4
5798,-7.5
19926,7.0
16801,0.5
8302,12.9
20831,16.2
25320,2.1
25075,3.0
21421,11.8
10434,15.6
2511,-6.2
22787,24.2
4183,6.9
124,5.8
24885,15.4
16454,4.9
21087,4.8
21599,7.7
14211,0.5
25031,4.8
8260,9.3
21257,5.1
12868,-2.4
15576,6.6
10865,-2.3
28368,22.7
2197,15.4
535,-4.5
27294,-0.8
19065,0.2
12828,-1.4
27163,3.8
27067,10.3
16512,10.1
3150,-2.8
15915,11.4
904,0.4
3094,-2.4
7143,-7.5
8649,-4.2
10962,-0.8
1615,3.7
19994,12.3
8792,-6.0
6024,-3.4
6070,-0.3
11575,-6.3
6857,8.9
22752,24.1
21574,7.9
20439,-1.5
27027,16.1
9168,1.7
20152,10.1
4956,-7.8
995,-3.0
21033,5.1
21047,5.2
20612,8.7
5601,-2.6
17997,18.4
6411,-3.3
15471,9.4
5307,-12.9
10278,1.8
23850,-5.0
279,0.9
20599,5.4
10357,13.6
1856,1.2
18806,7.2
26032,-1.5
20656,17.2
26818,14.5
3663,-2.4
27811,6.0
19653,3.1
16046,2.8
21360,10.9
22055,23.3
12034,0.6
21786,5.5
13471,3.1
7166,-8.1
14829,3.1
11208,10.5
24663,11.9
18331,2.8
7390,-11.8
21550,8.4
15415,14.6
1622,3.6
20736,27.3
7744,-1.8
24335,6.4
10794,-2.6
14425,-1.6
12500,15.7
24913,11.6
19624,3.4
3495,2.1
7840,-4.8
7099,-6.4
11498,-4.9
3184,-1.6
25097,2.3
11309,0.5
7930,-6.7
18334,2.7
4997,-9.4
8436,3.0
8435,3.0
18357,1.9
15925,11.9
11984,3.8
3221,0.5
10639,-1.6
4253,3.0
10618,-0.7
12950,-3.6
18254,5.6
17701,3.7
27459,-1.7
26826,16.7
28480,9.2
2749,10.0
7835,-4.8
15457,10.5
13776,-3.6
9546,3.6
15414,14.9
14393,-3.2
27878,2.9
8943,11.2
19008,-0.3
23846,-5.0
10947,-1.6
6979,-1.6
5552,3.2
691,14.8
6805,6.1
3972,7.4
11756,12.0
22394,-0.8
327,0.0
13717,-2.8
674,12.0
20988,4.7
25588,15.2
7735,-1.2
23598,0.5
14021,14.3
14309,-2.0
21870,4.9
26654,-3.2
10788,-2.7
17785,4.4
17891,14.9
26158,25.0
7193,-8.6
10949,-1.6
15029,-3.5
19960,6.6
1828,1.4
23763,-3.6
2072,7.4
3468,4.1
26719,-4.0
21909,5.3
28079,-2.2
27221,1.4
23184,-5.0
1033,-4.0
19954,6.0
13750,-3.3
11020,5.8
9480,-1.5
1332,0.9
7616,13.3
17699,3.7
22928,-1.2
10574,1.2
9834,3.1
3847,-2.3
2265,4.2
23558,2.5
21111,4.7
25957,-2.9
18913,1.9
2024,-1.1
20791,22.5
1586,5.8
8794,-6.1
13418,6.2
15503,8.1
5456,10.8
16355,0.1
27072,9.8
11769,14.4
25137,1.3
9787,7.6
4284,2.0
2867,12.6
3766,-2.2
7238,-9.3
14273,-1.2
22384,-0.6
27969,-0.1
18872,3.5
24392,3.2
19426,17.9
20722,26.5
5954,-5.9
1018,-3.8
9555,5.1
1287,-6.0
24224,9.7
27638,32.6
15082,-4.0
17736,2.7
1016,-3.7
28441,11.9
17478,6.1
22595,-2.1
8140,-7.8
26770,2.4
18787,8.8
24552,-2.0
8408,4.9
1081,-4.9
12040,0.5
21761,5.6
23328,24.0
16081,1.3
18390,0.6
7012,-3.8
569,-4.2
266,0.7
20457,-1.7
9408,0.6
17230,12.4
24865,18.2
12955,-3.6
23001,-3.0
25032,4.7
26387,5.5
22441,-1.8
19389,18.4
3516,1.2
3949,3.2
24454,0.1
8486,-0.1
23094,-4.8
249,1.0
17706,3.5
25693,5.1
8523,-1.4
16849,-1.0
7921,-6.5
24567,-2.0
11605,-6.5
11097,18.7
9368,1.7
23512,5.6
5605,-2.9
8044,-7.5
19519,6.4
2752,10.6
11248,5.0
3691,-2.6
12549,20.0
14745,14.9
14977,-2.5
20703,25.2
4128,13.0
17777,3.7
19186,1.7
24328,6.6
15705,4.8
6059,-0.4
12231,-4.5
7995,-7.8
2539,-7.6
21184,4.5
20768,25.9
15693,4.1
20154,9.7
25335,4.3
6382,-2.8
14970,-2.2
1917,-1.0
17305,16.6
18118,8.5
25176,1.8
6151,2.2
7668,5.3
4995,-9.3
26652,-3.1
16163,-0.9
14785,6.1
1198,-6.0
20291,1.0
14831,3.1
11875,18.0
6426,-3.9
1883,-0.1
10816,-2.4
20219,4.0
7303,-10.4
17319,14.8
21083,5.0
9134,5.3
7096,-6.3
1870,0.2
17957,18.0
20258,2.3
5420,6.6
1820,1.2
8187,-0.8
1837,1.3
9479,-1.4
11787,17.1
21084,5.0
963,-2.3
13425,5.7
13385,8.8
27064,10.8
937,-1.2
18586,18.0
23704,-2.7
956,-2.0
435,-1.8
28490,9.4
25674,6.3
24402,2.3
25353,6.4
6025,-3.3
7029,-4.5
24624,3.3
25364,9.1
24154,17.3
8674,-4.7
11090,18.2
14190,1.3
9154,3.0
11717,3.9
71,10.7
27247,0.5
10992,2.6
688,14.3
10545,3.1
18205,6.2
25614,11.4
26622,-2.7
25127,1.7
15805,11.2
26183,27.6
16090,1.1
13691,-2.6
20140,11.0
15167,-4.3
8981,16.7
18141,6.9
1094,-5.1
17254,14.8
12202,-4.2
17702,3.7
366,-1.6
21079,5.0
12494,14.8
11337,-0.7
12411,0.6
2057,5.0
20565,-0.7
17045,-3.7
17943,19.1
21513,9.7
8645,-4.0
11009,4.4
11712,2.6
13622,-2.3
1463,15.3
21712,6.5
786,13.4
27882,2.7
23481,8.8
13997,14.8
5960,-5.8
1925,-1.2
24097,27.0
28112,-1.4
9449,-0.5
9693,21.9
453,-2.6
15620,6.2
21730,6.4
8740,-5.5
22771,23.9
27263,0.2
23998,20.2
1254,-6.6
1167,-5.4
10221,-5.0
8368,7.7
8715,-5.0
17161,2.4
21973,9.5
17145,1.2
28556,8.0
8609,-3.5
16623,14.4
3126,-2.8
738,17.5
12586,17.8
14779,6.7
11520,-5.1
25367,9.8
24805,27.2
21901,5.3
3047,-2.2
12774,0.4
22872,0.3
15607,6.3
15221,3.2
1343,2.8
18026,15.1
24088,26.8
21448,12.4
24243,8.6
5445,9.7
12255,-4.9
16002,5.3
18991,0.1
13694,-2.6
26743,-3.2
14844,2.3
4500,-5.6
15616,6.3
23549,3.0
1118,-5.2
22175,10.4
13890,11.6
7626,12.4
22363,0.0
13784,-3.6
19007,-0.3
10560,2.2
27934,0.9
3764,-2.3
24861,18.8
4737,6.6
8822,-6.8
23533,4.0
13613,-2.0
17285,15.5
27709,14.4
19288,21.5
12276,-5.1
24824,25.5
17112,-0.7
13412,6.5
15071,-4.1
25803,0.5
16963,-2.8
13916,13.1
2513,-6.3
24667,12.9
4193,6.1
19903,4.6
17830,8.5
8390,6.0
12936,-3.4
5482,11.9
23806,-4.4
20717,26.4
19093,-0.3
18207,6.2
21950,7.2
3333,8.8
10312,8.6
7961,-7.2
1220,-6.4
19642,3.1
23372,26.6
6064,-0.4
25221,2.7
25206,2.7
18309,3.5
13536,0.0
2557,-8.1
10095,-4.9
23086,-4.7
16815,-0.1
7126,-7.1
24163,15.8
10420,15.1
2001,-1.2
11395,-2.8
3911,-2.7
24746,25.9
13708,-2.8
25815,0.3
18661,22.7
16959,-2.7
23857,-5.1
27712,14.0
4278,2.1
4309,1.0
20234,3.4
13774,-3.6
15498,8.3
6835,8.0
26941,30.0
13636,-2.5
15733,6.3
23899,-3.4
20345,-0.6
25242,2.5
11109,19.5
8127,-8.4
6052,-0.1
26877,26.6
12823,-1.2
9638,18.9
11274,2.8
20843,15.1
15293,17.2
28138,4.1
13246,21.7
26787,6.4
18085,10.3
4640,-6.8
21127,4.7
17999,18.7
16826,-0.4
3018,-2.0
8660,-4.3
19028,-0.5
25210,2.6
21889,5.0
21677,6.7
2558,-8.1
8111,-8.7
5309,-12.8
18064,11.5
9566,7.3
23715,-2.9
3708,-2.9
17762,3.0
8356,9.4
16357,0.1
15105,-4.2
26855,23.1
26503,0.2
675,12.0
24020,24.5
25973,-2.9
19145,-0.2
22226,5.4
2450,-5.2
15148,-4.5
11643,-6.6
26774,3.3
28519,8.1
14243,-0.5
5128,-11.6
24696,18.8
16156,-0.6
15367,20.8
16891,-1.8
11039,8.2
487,-3.6
23239,6.0
27796,7.0
27656,30.5
26681,-3.6
25292,0.8
16111,0.5
15262,11.7
21755,5.6
16862,-1.2
20785,22.1
28199,19.5
7130,-7.2
16791,0.7
18757,12.8
16076,1.5
12634,11.9
18766,11.7
22844,14.0
15549,7.1
13343,14.0
1996,-1.5
27827,5.2
26284,17.7
9246,-2.6
22955,-2.1
13696,-2.8
5471,11.7
14133,4.0
27390,-2.7
19452,13.6
23760,-3.6
15682,5.0
7152,-7.8
3087,-2.5
19210,6.1
17622,4.3
25019,5.1
2641,-8.5
24012,23.6
18666,21.1
5752,-7.6
1278,-6.3
16553,17.5
10125,-5.0
1876,0.0
12368,-5.1
18379,1.2
261,0.8
4918,-5.7
26015,-2.8
15102,-4.2
21454,12.5
15728,6.3
12183,-3.9
15276,14.2
14741,16.8
8627,-3.8
22291,2.3
25383,13.7
28575,7.9
1579,6.0
22699,19.5
1606,4.8
1208,-6.1
26812,13.0
5161,-12.2
718,17.4
20251,2.6
26760,0.0
23759,-3.6
16566,17.1
26600,-2.2
16485,7.3
23988,18.2
9115,8.0
6236,0.2
20044,13.5
16774,1.3
18198,6.4
7569,13.7
7189,-8.4
276,0.9
22832,17.4
4745,7.4
19062,0.4
25418,21.5
18956,0.6
5156,-12.0
6,10.2
8458,1.9
2756,11.2
22353,0.2
15396,16.5
8480,0.3
24149,18.1
3621,-1.8
8212,3.1
26129,20.3
25231,2.6
2906,6.1
6530,-7.7
26477,1.0
11213,9.6
16459,5.5
27088,8.6
16343,0.0
6662,-10.5
24358,5.4
14947,-1.7
19100,-0.3
14731,19.4
14338,-2.4
10131,-5.1
26143,22.9
10513,6.1
7318,-10.9
15537,7.3
15236,6.1
14757,9.9
13325,16.0
21962,8.6
28350,27.2
1202,-6.1
8062,-7.9
23193,-4.4
20981,4.9
26773,3.0
1878,-0.1
10056,-4.4
15464,10.1
25705,4.5
6769,0.4
4474,-4.0
7274,-9.9
6643,-10.0
23852,-5.0
2551,-8.0
18270,4.7
9948,-2.0
27172,3.3
11860,19.2
2869,11.8
22156,13.0
7858,-5.0
11456,-4.0
18567,11.7
18660,23.2
12572,19.2
23137,-5.5
4758,8.6
7785,-3.3
28518,8.3
14696,22.5
22573,-3.1
2300,0.9
18952,0.8
13448,4.3
8009,-7.9
10882,-2.4
2088,9.4
4495,-5.3
15867,11.6
26947,29.8
20199,5.2
23216,0.9
7606,14.0
19710,2.9
23809,-4.4
2381,-3.3
9364,1.7
23403,24.1
20231,3.5
16140,-0.3
3667,-2.5
9071,16.7
26935,30.1
25148,1.1
22653,10.6
20067,14.1
24635,5.7
17273,16.4
14966,-2.3
7044,-5.2
11338,-0.8
4018,14.8
4171,7.8
21620,7.2
21853,4.8
16740,2.9
6189,1.2
14976,-2.4
28143,5.2
13881,10.3
19580,3.6
13576,-1.2
13995,14.8
24229,9.4
11482,-4.6
8539,-1.9
20935,7.5
22586,-2.8
10233,-4.0
25975,-2.9
8648,-4.2
15822,11.1
23633,-0.8
25715,4.0
12902,-2.8
27217,1.6
15391,17.6
21122,4.7
5734,-6.9
11089,17.8
26845,20.8
26817,14.2
13165,9.5
10993,3.1
27239,0.9
11176,17.1
10071,-4.7
1092,-5.0
19728,3.0
27323,-1.4
22591,-2.4
8892,1.2
10604,-0.2
18410,0.0
902,0.5
6061,-0.4
4746,7.6
21265,5.2
26990,25.2
116,6.7
2952,1.4
8281,13.7
19005,-0.3
5596,-2.0
13267,20.9
218,1.7
20980,4.9
1114,-5.2
3166,-2.6
10480,10.5
21258,5.1
28371,22.1
17385,9.5
26171,26.7
27299,-0.8
5190,-12.6
8665,-4.3
28439,12.0
16011,4.7
5218,-12.8
23315,22.1
12229,-4.7
27229,1.3
27135,5.3
20954,6.2
18525,7.5
5417,6.2
12069,-0.8
17628,4.3
6431,-4.1
22258,3.7
23591,0.8
17391,9.1
27433,-2.8
13231,20.2
15207,0.5
10476,10.6
11642,-6.5
12871,-2.4
18144,6.9
26086,10.7
4101,15.5
2271,3.4
14526,1.1
24432,0.8
9622,16.4
25109,1.9
19261,16.5
11561,-6.0
13012,-4.3
27355,-2.0
11662,-5.6
12090,-1.6
27484,3.5
17209,9.9
1234,-6.3
20197,5.3
28260,30.1
10413,15.3
3908,-3.0
3205,-0.2
7249,-9.5
15553,7.0
17598,4.6
24525,-1.5
17054,-3.6
19085,0.0
414,-1.7
379,-1.7
13159,8.1
22423,-1.5
23072,-4.4
135,5.2
12673,6.9
27696,18.3
9039,19.1
14692,22.4
10446,14.6
19719,3.0
18762,12.3
367,-1.6
26510,0.0
11647,-6.4
27758,9.5
10674,-2.6
4838,5.1
13399,7.5
28179,14.6
6101,-0.1
28564,8.0
10668,-2.6
18875,3.2
11432,-3.6
12597,16.8
28489,9.2
532,-4.4
21023,5.3
1439,14.9
25426,23.1
26949,29.9
5400,4.0
11676,-3.2
26147,23.9
10447,14.4
23437,15.6
23883,-4.7
19709,2.9
7078,-5.9
27106,7.2
8278,13.4
20362,-1.0
13644,-2.2
4204,5.4
28071,-2.1
23336,24.9
18606,18.4
23069,-4.4
24463,-0.3
20498,-1.8
8516,-1.4
12324,-5.8
13936,14.4
17310,15.9
26869,25.5
9868,1.2
24489,-0.8
10406,15.1
16064,2.0
20128,13.3
2384,-3.2
5957,-5.8
7952,-7.1
19443,15.0
9107,9.5
17948,18.6
25074,3.2
8954,13.2
10136,-5.0
14117,5.1
18391,0.6
15159,-4.4
15784,11.7
7161,-7.9
18843,4.6
22020,20.1
14995,-2.9
15028,-3.4
21386,11.2
27432,-3.0
23565,2.1
10271,0.9
1360,5.9
6325,-2.1
22676,15.3
206,2.0
19329,20.8
9503,-1.4
2456,-5.3
9233,-2.2
751,17.3
21593,7.7
21364,10.8
10501,7.4
17130,0.4
12773,0.5
13040,-4.7
7656,6.6
15360,20.8
27011,18.8
18214,6.1
1300,-4.6
5186,-12.5
14799,5.0
5828,-7.4
25326,2.9
20013,12.4
28232,26.3
15632,5.7
14739,17.5
9582,10.3
15666,5.3
23060,-4.1
21097,4.7
13907,12.2
20644,16.0
10041,-4.1
7433,-8.1
11755,11.7
14861,1.4
15970,8.0
13218,18.7
5830,-7.3
9630,17.3
6741,-4.1
13324,16.0
11703,1.9
26273,22.1
8921,6.9
1193,-5.9
8056,-7.8
835,6.3
2665,-5.8
20343,-0.5
5898,-6.4
21785,5.5
24138,20.8
8450,2.3
18745,14.0
25112,1.8
26209,28.5
11414,-3.0
13097,-2.8
5668,-5.9
20899,9.9
25104,2.2
23849,-5.0
6172,1.5
18775,10.4
13950,14.0
28522,8.0
14213,0.5
8130,-8.3
19006,-0.3
13091,-3.6
25443,25.2
14958,-2.0
12480,13.0
2044,2.7
9515,-1.0
11567,-6.0
19400,19.8
10449,14.4
2534,-7.5
13952,14.4
3879,-3.5
26246,26.4
10010,-3.5
15826,11.1
14374,-3.2
10658,-2.0
2081,8.5
1077,-4.6
20672,20.8
19594,3.3
16932,-2.5
21278,5.7
11941,7.8
5412,5.4
16030,3.8
17325,14.4
18220,6.1
11369,-2.0
2724,5.4
9060,17.7
9238,-2.4
12286,-5.3
14467,-0.6
3187,-1.5
10159,-5.5
20331,-0.3
8054,-7.8
3709,-3.0
26632,-2.9
8908,4.2
7182,-8.3
16104,0.7
20076,14.3
10414,15.3
17712,3.3
4953,-7.7
2995,-1.2
21691,6.8
13176,11.2
17287,15.4
27939,0.8
15012,-3.0
25290,0.9
3303,7.6
20124,12.5
4419,-2.4
5857,-7.1
25384,13.9
17228,12.2
4524,-6.8
11195,12.1
21256,5.0
5055,-10.5
25776,1.4
25129,1.6
3271,4.7
8134,-8.1
20741,27.1
27335,-1.6
26930,30.4
9156,2.8
18333,2.8
7003,-3.3
24007,22.0
8022,-7.9
21475,11.3
2141,14.9
128,5.5
20587,3.4
23847,-5.0
1842,1.2
24577,-1.9
22322,1.1
7565,13.6
8550,-2.2
21733,6.4
14099,6.5
18986,0.1
5301,-13.1
6065,-0.3
9027,19.0
21031,5.3
20503,-1.8
6737,-4.9
1743,1.8
129,5.5
25652,7.7
24043,27.0
1240,-6.3
9210,-0.9
15642,5.5
9975,-2.6
18515,5.3
16779,1.2
5515,10.4
1565,6.7
19808,2.7
19933,6.9
18256,5.5
11048,10.7
25474,27.7
21821,5.3
370,-1.5
21342,10.0
12493,14.6
20859,12.9
24967,7.6
3736,-2.2
19348,22.2
3134,-2.8
10069,-4.7
5241,-13.1
7809,-4.3
23293,18.5
16095,0.9
1986,-1.7
21428,12.2
25770,1.5
26128,20.2
23972,13.6
15548,7.1
27674,27.6
16665,9.8
27703,17.2
13470,3.2
23555,2.7
17633,4.3
11972,4.5
28193,18.1
16888,-1.7
21667,6.8
5353,-4.8
20525,-1.3
18116,8.6
24537,-1.7
13166,9.6
28149,6.9
10298,6.2
10491,8.7
14286,-1.4
21362,10.9
26313,13.2
26639,-3.0
22734,23.3
17596,4.6
17937,19.4
28084,-2.3
4899,-4.1
874,2.4
21416,11.9
16985,-3.0
26473,1.3
16447,4.7
21404,12.0
27804,6.5
26014,-3.0
1578,6.2
11957,5.9
28533,7.6
6146,1.8
5487,11.6
10829,-2.5
15057,-4.0
22358,0.0
17959,18.0
26788,6.8
8075,-8.2
14707,21.7
14306,-1.8
15234,5.9
21410,12.2
9194,0.0
12033,0.7
7762,-2.7
12156,-3.2
18951,0.8
6932,5.5
19526,6.4
10191,-5.5
17773,3.6
11543,-5.6
25154,1.0
19865,3.2
19285,21.3
2559,-8.1
9554,5.0
25821,0.1
27381,-2.6
22274,2.9
12374,-4.7
19785,2.8
26463,1.6
22822,19.6
7716,-0.1
15524,7.5
14499,0.1
8090,-8.4
26548,-1.0
12283,-5.2
4546,-7.6
12158,-3.3
18819,6.2
28357,26.0
24599,-1.0
20223,3.9
