,r_humidity_1h
15229,65.8
28276,17.6
3217,63.8
23836,99.9
27094,54.3
22686,19.0
17286,69.9
6452,99.9
14594,95.4
22913,47.5
27647,15.9
6331,99.9
22106,44.5
13178,64.3
13699,99.9
21795,69.4
10718,97.6
19853,88.7
25641,44.0
9979,81.4
18749,46.5
13863,64.3
17490,75.9
10160,99.4
9499,99.9
25549,24.2
777,48.4
27435,99.9
8571,62.5
17207,96.3
10463,29.5
21774,63.6
28205,34.5
21926,95.5
20818,36.7
20080,53.3
20419,99.9
13025,99.9
16952,99.9
39,5.54
2123,26.6
17796,86.0
24344,64.3
23606,79.7
27426,99.9
4916,40.6
27681,23.3
20296,86.8
4315,61.0
18266,82.4
10896,91.0
12929,99.9
477,9.99
8359,60.6
648,7.83
1060,99.9
11116,31.3
12850,99.9
21839,76.5
22170,36.0
8474,99.9
26574,87.7
27444,99.9
7061,44.7
11528,99.9
13664,99.9
2771,44.4
8589,58.2
3036,86.3
25044,84.3
4141,60.4
7034,45.5
23820,99.9
17488,74.1
25322,99.9
5503,32.1
1979,62.5
21302,65.0
22436,99.9
26864,23.2
769,46.0
28284,21.5
25411,51.5
2863,37.8
26544,82.4
11473,93.1
10289,54.2
13909,52.7
12026,77.6
27268,95.4
9604,36.6
25905,88.8
9903,60.3
19094,84.7
22863,41.6
8394,62.1
24864,32.9
28140,73.4
15287,40.0
20395,99.9
10759,95.5
26272,23.6
13516,88.7
2884,33.9
18972,87.6
11884,35.0
12164,99.9
2348,50.7
8731,68.2
25872,77.9
23516,49.2
26085,46.7
4119,48.9
18336,91.3
4212,77.9
21933,97.1
26383,41.5
7595,36.8
19536,80.5
22570,99.9
19997,62.9
17168,99.9
11788,46.8
6520,99.9
4377,60.3
2073,39.3
8081,99.9
18990,90.5
12300,99.9
13106,99.9
5798,83.0
19926,83.3
16801,99.9
8302,57.1
20831,41.4
25320,99.9
25075,89.7
21421,48.3
10434,28.2
2511,95.6
22787,19.8
4183,74.4
124,6.69
24885,42.7
16454,99.9
21087,73.6
21599,63.8
14211,96.9
25031,82.8
8260,65.6
21257,70.7
12868,99.9
15576,55.0
10865,85.9
28368,46.4
2197,22.5
535,9.99
27294,98.5
19065,87.8
12828,99.9
27163,73.8
27067,44.3
16512,99.9
3150,80.8
15915,81.0
904,75.2
3094,89.2
7143,62.3
8649,68.9
10962,79.7
1615,75.0
19994,69.4
8792,79.4
6024,93.9
6070,89.1
11575,99.9
6857,42.3
22752,15.2
21574,63.6
20439,99.9
27027,31.7
9168,46.4
20152,54.4
4956,46.4
995,97.2
21033,72.5
21047,70.6
20612,76.8
5601,54.6
17997,50.7
6411,99.9
15471,52.4
5307,94.4
10278,58.0
23850,99.9
279,9.3
20599,84.6
10357,39.7
1856,98.7
18806,58.1
26032,85.8
20656,53.8
26818,36.8
3663,96.2
27811,63.6
19653,87.0
16046,87.3
21360,51.6
22055,52.6
12034,75.3
21786,67.0
13471,78.8
7166,58.0
14829,70.6
11208,32.9
24663,68.3
18331,91.1
7390,99.4
21550,64.3
15415,36.8
1622,84.6
20736,36.4
7744,63.0
24335,65.6
10794,92.4
14425,99.9
12500,59.6
24913,51.1
19624,85.5
3495,66.9
7840,92.8
7099,54.0
11498,96.3
3184,75.6
25097,95.6
11309,59.8
7930,96.9
18334,90.6
4997,52.8
8436,98.2
8435,97.4
18357,99.4
15925,78.5
11984,49.4
3221,62.0
10639,82.8
4253,66.4
10618,77.3
12950,99.9
18254,83.7
17701,91.1
27459,99.6
26826,34.2
28480,84.8
2749,50.6
7835,91.4
15457,46.1
13776,99.9
9546,80.5
15414,37.0
14393,99.9
27878,83.4
8943,31.6
19008,87.6
23846,99.9
10947,88.0
6979,40.5
5552,32.1
691,5.46
6805,44.3
3972,61.0
11756,47.2
22394,90.7
327,9.99
13717,99.9
674,7.34
20988,80.3
25588,32.5
7735,63.6
23598,77.3
14021,40.0
14309,99.9
21870,80.9
26654,92.6
10788,93.0
17785,94.7
17891,59.1
26158,31.6
7193,64.2
10949,88.6
15029,99.9
19960,95.6
1828,99.9
23763,99.9
2072,41.4
3468,65.8
26719,99.9
21909,92.0
28079,99.9
27221,85.9
23184,99.9
1033,99.9
19954,96.1
13750,99.9
11020,53.5
9480,99.9
1332,82.9
7616,31.6
17699,90.6
22928,47.5
10574,63.0
9834,44.2
3847,97.3
2265,22.3
23558,56.0
21111,74.7
25957,99.8
18913,76.4
2024,48.0
20791,37.4
1586,71.2
8794,78.0
13418,67.7
15503,57.4
5456,32.5
16355,99.9
27072,45.0
11769,49.2
25137,98.1
9787,29.8
4284,63.2
2867,34.7
3766,98.6
7238,74.2
14273,99.9
22384,87.1
27969,97.6
18872,71.7
24392,70.2
19426,40.4
20722,36.1
5954,70.7
1018,99.9
9555,67.9
1287,99.9
24224,50.4
27638,19.2
15082,99.9
17736,98.5
1016,99.9
28441,74.4
17478,76.4
22595,99.9
8140,99.9
26770,60.2
18787,53.3
24552,99.9
8408,65.6
1081,99.9
12040,77.7
21761,63.8
23328,23.9
16081,97.9
18390,99.9
7012,40.0
569,9.99
266,9.33
20457,99.9
9408,99.1
17230,89.5
24865,33.7
12955,99.9
23001,73.1
25032,82.8
26387,40.7
22441,99.9
19389,41.9
3516,78.0
3949,67.7
24454,87.4
8486,87.6
23094,94.0
249,9.34
17706,91.7
25693,48.5
8523,77.5
16849,99.9
7921,95.0
24567,99.9
11605,99.9
11097,32.7
9368,99.9
23512,50.5
5605,58.5
8044,99.9
19519,74.4
2752,47.7
11248,46.1
3691,99.9
12549,54.2
14745,31.7
14977,99.9
20703,35.7
4128,52.6
17777,96.6
19186,82.0
24328,65.0
15705,99.9
6059,89.1
12231,99.9
7995,99.9
2539,99.9
21184,75.8
20768,33.2
15693,99.9
20154,55.0
25335,92.5
6382,99.9
14970,97.1
1917,66.1
17305,61.0
18118,75.3
25176,99.9
6151,92.4
7668,40.4
4995,52.6
26652,93.0
16163,99.9
14785,58.8
1198,99.9
20291,86.1
14831,72.1
11875,35.0
6426,99.9
1883,77.5
10816,91.7
20219,74.4
7303,85.0
17319,58.2
21083,75.0
9134,36.0
7096,52.4
1870,85.7
17957,50.5
20258,80.4
5420,46.4
1820,99.9
8187,73.0
1837,99.9
9479,99.9
11787,47.7
21084,75.5
963,91.8
13425,67.4
13385,53.8
27064,43.7
937,83.1
18586,60.8
23704,97.0
956,81.9
435,9.99
28490,86.7
25674,45.5
24402,73.4
25353,85.6
6025,93.9
7029,46.6
24624,78.0
25364,80.8
24154,34.8
8674,70.7
11090,31.4
14190,90.6
9154,40.3
11717,68.0
71,6.34
27247,93.0
10992,66.2
688,6.39
10545,54.8
18205,81.6
25614,39.5
26622,92.5
25127,97.9
15805,91.0
26183,31.0
16090,99.9
13691,99.9
20140,54.8
15167,99.9
8981,31.0
18141,80.0
1094,99.9
17254,78.1
12202,99.9
17702,91.3
366,9.99
21079,75.1
12494,60.8
11337,57.9
12411,92.8
2057,43.5
20565,99.9
17045,99.9
17943,50.8
21513,51.3
8645,67.9
11009,55.4
11712,73.9
13622,99.9
1463,55.0
21712,63.6
786,45.2
27882,83.9
23481,53.4
13997,40.8
5960,75.1
1925,65.9
24097,33.0
28112,99.9
9449,99.9
9693,28.4
453,9.99
15620,65.3
21730,59.0
8740,69.0
22771,17.5
27263,93.4
23998,35.8
1254,99.9
1167,99.9
10221,99.9
8368,61.5
8715,65.5
17161,99.9
21973,89.8
17145,99.9
28556,88.8
8609,54.1
16623,68.3
3126,88.2
738,49.4
12586,49.6
14779,55.8
11520,99.1
25367,76.2
24805,31.7
21901,86.5
3047,86.4
12774,94.8
22872,40.9
15607,59.8
15221,71.4
1343,79.9
18026,52.9
24088,30.8
21448,46.2
24243,58.4
5445,38.9
12255,99.9
16002,76.6
18991,90.6
13694,99.9
26743,94.6
14844,76.5
4500,75.7
15616,62.8
23549,65.7
1118,99.9
22175,32.9
13890,54.0
7626,33.5
22363,82.5
13784,99.9
19007,87.3
10560,56.3
27934,92.7
3764,98.9
24861,32.4
4737,30.0
8822,87.0
23533,56.5
13613,99.9
17285,69.6
27709,27.1
19288,42.1
12276,99.9
24824,31.4
17112,99.9
13412,64.0
15071,99.9
25803,82.1
16963,99.9
13916,51.1
2513,95.6
24667,65.5
4193,75.7
19903,85.3
17830,68.8
8390,61.7
12936,99.9
5482,32.3
23806,99.9
20717,36.9
19093,84.9
18207,81.9
21950,99.9
3333,49.1
10312,49.3
7961,99.7
1220,99.9
19642,87.6
23372,21.8
6064,87.7
25221,96.6
25206,93.9
18309,90.3
13536,92.7
2557,99.9
10095,99.9
23086,91.1
16815,99.9
7126,56.6
24163,37.0
10420,31.2
2001,61.6
11395,72.3
3911,99.9
24746,38.6
13708,99.9
25815,83.8
18661,42.9
16959,99.9
23857,99.9
27712,29.7
4278,63.6
4309,60.6
20234,78.0
13774,99.9
15498,59.1
6835,39.9
26941,22.3
13636,99.9
15733,99.9
23899,94.4
20345,99.2
25242,95.6
11109,31.7
8127,99.9
6052,92.4
26877,23.8
12823,99.9
9638,34.0
11274,45.0
20843,39.2
15293,38.3
28138,73.9
13246,38.5
26787,50.4
18085,65.6
4640,39.3
21127,75.4
17999,49.1
16826,99.9
3018,81.3
8660,69.6
19028,92.6
25210,95.0
21889,85.3
21677,65.8
2558,99.9
8111,99.9
5309,93.0
18064,63.3
9566,64.7
23715,99.9
3708,99.9
17762,99.6
8356,60.3
16357,99.9
15105,99.9
26855,26.4
26503,69.9
675,6.98
24020,29.6
25973,99.9
19145,91.8
22226,44.2
2450,78.6
15148,99.9
11643,99.9
26774,51.1
28519,89.4
14243,99.9
5128,71.7
24696,51.3
16156,99.9
15367,34.7
16891,99.9
11039,46.0
487,9.99
23239,43.0
27796,57.3
27656,19.2
26681,97.9
25292,99.9
16111,99.9
15262,43.8
21755,62.8
16862,99.9
20785,32.9
28199,35.7
7130,55.5
16791,99.9
18757,49.0
16076,98.1
12634,50.3
18766,48.6
22844,18.3
15549,50.2
13343,38.6
1996,63.3
27827,71.2
26284,22.6
9246,73.9
22955,56.6
13696,99.9
5471,38.8
14133,77.2
27390,99.9
19452,48.6
23760,99.9
15682,99.9
7152,62.1
3087,90.5
19210,58.5
17622,83.6
25019,77.3
2641,99.9
24012,31.3
18666,46.9
5752,82.2
1278,99.9
16553,80.0
10125,94.6
1876,80.2
12368,99.9
18379,99.9
261,9.25
4918,42.4
26015,99.9
15102,99.9
21454,44.7
15728,99.9
12183,99.9
15276,41.2
14741,28.9
8627,63.3
22291,60.4
25383,69.4
28575,89.7
1579,76.5
22699,16.4
1606,74.8
1208,99.9
26812,37.3
5161,80.4
718,49.5
20251,77.3
26760,64.7
23759,99.9
16566,76.7
26600,90.7
16485,99.9
23988,36.5
9115,28.9
6236,96.7
20044,54.2
16774,99.9
18198,82.3
7569,39.5
7189,65.7
276,9.34
22832,17.4
4745,29.6
19062,87.8
25418,48.1
18956,87.6
5156,76.6
6,5.28
8458,99.9
2756,47.3
22353,78.7
15396,35.1
8480,93.0
24149,35.3
3621,87.6
8212,63.2
26129,37.5
25231,93.5
2906,39.4
6530,99.9
26477,64.4
11213,33.7
16459,99.9
27088,51.9
16343,99.9
6662,99.9
24358,70.5
14947,83.9
19100,88.1
14731,35.0
14338,99.9
10131,96.4
26143,33.9
10513,43.3
7318,90.0
15537,50.7
15236,55.9
14757,46.6
13325,37.0
21962,96.3
28350,39.8
1202,99.9
8062,99.9
23193,81.2
20981,79.4
26773,52.6
1878,78.9
10056,97.7
15464,49.3
25705,52.2
6769,61.8
4474,67.2
7274,82.4
6643,99.9
23852,99.9
2551,99.9
18270,83.3
9948,74.5
27172,79.0
11860,37.5
2869,36.5
22156,36.9
7858,93.8
11456,88.5
18567,73.7
18660,40.7
12572,48.6
23137,96.0
4758,30.8
7785,77.4
28518,89.8
14696,31.2
22573,99.9
2300,29.6
18952,85.5
13448,75.5
8009,99.9
10882,88.2
2088,28.3
4495,78.6
15867,86.4
26947,22.3
20199,72.3
23216,62.2
7606,34.3
19710,89.2
23809,99.9
2381,61.0
9364,99.9
23403,14.9
20231,81.4
16140,99.9
3667,96.9
9071,24.2
26935,22.3
25148,99.9
22653,32.6
20067,52.1
24635,73.5
17273,67.5
14966,95.4
7044,44.5
11338,56.3
4018,57.7
4171,72.7
21620,68.0
21853,78.6
16740,99.9
6189,93.8
14976,99.5
28143,67.2
13881,57.0
19580,85.0
13576,98.7
13995,42.3
24229,52.8
11482,94.9
8539,79.5
20935,65.6
22586,99.9
10233,95.6
25975,99.9
8648,68.6
15822,89.3
23633,89.7
25715,60.7
12902,99.9
27217,86.1
15391,35.0
21122,73.3
5734,78.2
11089,32.0
26845,30.8
26817,35.1
13165,70.3
10993,64.7
27239,91.2
11176,25.4
10071,98.0
1092,99.9
19728,87.8
27323,99.9
22591,99.9
8892,57.8
10604,69.7
18410,99.9
902,71.5
6061,88.8
4746,28.0
21265,69.6
26990,24.4
116,6.01
2952,71.6
8281,60.0
19005,87.4
5596,51.3
13267,38.4
218,8.72
20980,79.1
1114,99.9
3166,75.5
10480,30.8
21258,69.3
28371,47.1
17385,69.1
26171,33.3
27299,98.6
5190,87.6
8665,68.4
28439,73.3
16011,78.8
5218,92.2
23315,26.4
12229,99.9
27229,89.8
27135,70.2
20954,75.1
18525,76.8
5417,42.1
12069,83.1
17628,85.1
6431,99.9
22258,50.7
23591,77.1
17391,70.8
27433,99.9
13231,45.3
15207,82.3
10476,29.1
11642,99.9
12871,99.9
18144,83.6
26086,46.2
4101,43.9
2271,24.0
14526,99.9
24432,86.3
9622,39.0
25109,93.0
19261,46.6
11561,99.9
13012,99.9
27355,99.9
11662,99.9
12090,90.1
27484,67.9
17209,94.8
1234,99.9
20197,70.5
28260,19.0
10413,29.5
3908,99.9
3205,68.2
7249,79.1
15553,50.5
17598,82.7
24525,99.9
17054,99.9
19085,84.8
414,9.99
379,9.99
13159,72.7
22423,99.7
23072,88.0
135,6.84
12673,71.3
27696,21.0
9039,22.4
14692,30.7
10446,29.9
19719,85.3
18762,48.0
367,9.99
26510,75.7
11647,99.9
27758,42.4
10674,87.9
4838,31.7
13399,57.3
28179,52.2
6101,92.4
28564,89.5
10668,86.3
18875,72.7
11432,83.8
12597,47.0
28489,86.9
532,9.99
21023,77.7
1439,54.6
25426,53.5
26949,21.5
5400,44.3
11676,96.8
26147,33.6
10447,30.4
23437,24.9
23883,99.9
19709,89.1
7078,47.7
27106,57.0
8278,61.0
20362,99.9
13644,99.9
4204,77.4
28071,99.9
23336,25.4
18606,54.9
23069,88.6
24463,90.1
20498,99.9
8516,78.3
12324,99.9
13936,51.2
17310,59.4
26869,27.4
9868,55.1
24489,90.0
10406,32.0
16064,93.7
20128,55.6
2384,58.5
5957,72.5
7952,97.8
19443,47.3
9107,27.8
17948,50.7
25074,90.3
8954,28.4
10136,94.7
14117,71.1
18391,99.9
15159,99.9
15784,99.9
7161,57.0
18843,70.7
22020,65.8
14995,99.9
15028,99.9
21386,52.3
27432,99.9
23565,67.3
10271,69.3
1360,74.3
6325,99.9
22676,22.4
206,8.34
19329,45.2
9503,99.9
2456,80.6
9233,65.5
751,45.2
21593,66.9
21364,52.1
10501,37.4
17130,99.9
12773,95.6
13040,99.9
7656,37.6
15360,36.4
27011,26.1
18214,81.7
1300,99.9
5186,88.1
14799,61.6
5828,79.4
25326,99.9
20013,60.8
28232,30.1
15632,84.3
14739,29.6
9582,44.3
15666,99.9
23060,84.3
21097,69.0
13907,50.9
20644,63.1
10041,94.5
7433,70.2
11755,44.9
14861,81.3
15970,70.9
13218,45.0
5830,78.6
9630,41.1
6741,95.5
13324,36.6
11703,75.5
26273,23.8
8921,33.8
1193,99.9
8056,99.9
835,44.6
2665,98.4
20343,98.7
5898,69.9
21785,65.4
24138,31.9
8450,99.9
18745,45.6
25112,94.6
26209,30.9
11414,76.8
13097,99.9
5668,79.1
20899,60.7
25104,93.5
23849,99.9
6172,90.8
18775,50.1
13950,51.9
28522,86.1
14213,99.0
8130,99.9
19006,87.3
13091,99.9
25443,40.0
14958,92.4
12480,64.1
2044,42.7
9515,99.9
11567,99.9
19400,41.2
10449,33.3
2534,99.9
13952,51.4
3879,99.1
26246,21.4
10010,92.1
15826,89.7
14374,99.9
10658,84.5
2081,38.1
1077,99.9
20672,46.7
19594,86.7
16932,99.9
21278,68.0
11941,41.6
5412,46.3
16030,84.9
17325,60.4
18220,82.9
11369,65.8
2724,54.8
9060,24.9
9238,70.1
12286,99.9
14467,99.9
3187,74.3
10159,98.9
20331,95.5
8054,99.9
3709,99.9
26632,93.7
8908,43.5
7182,65.2
16104,99.9
20076,53.5
10414,30.6
17712,91.8
4953,45.3
2995,84.5
21691,59.9
13176,64.3
17287,69.9
27939,95.7
15012,99.9
25290,99.9
3303,50.9
20124,54.0
4419,42.6
5857,74.9
25384,68.7
17228,90.1
4524,58.0
11195,29.7
21256,70.7
5055,65.9
25776,81.2
25129,99.5
3271,55.9
8134,99.9
20741,33.6
27335,99.9
26930,24.8
9156,42.5
18333,91.1
7003,40.1
24007,33.3
8022,99.9
21475,46.9
2141,27.0
128,6.82
20587,93.6
23847,99.9
1842,99.9
24577,99.9
22322,67.5
7565,44.9
8550,78.6
21733,56.2
14099,65.0
18986,89.7
5301,97.6
6065,88.5
9027,24.4
21031,77.4
20503,99.9
6737,99.9
1743,75.1
129,6.89
25652,42.6
24043,30.6
1240,99.9
9210,56.3
15642,94.9
9975,80.8
18515,83.9
16779,99.9
5515,33.9
1565,63.3
19808,89.9
19933,84.1
18256,83.5
11048,41.2
25474,26.5
21821,74.4
370,9.99
21342,54.9
12493,62.4
20859,51.5
24967,61.5
3736,99.9
19348,40.0
3134,84.7
10069,98.3
5241,95.2
7809,84.3
23293,35.2
16095,99.9
1986,61.7
21428,45.3
25770,78.7
26128,37.4
23972,39.7
15548,50.2
27674,20.4
16665,74.4
27703,22.4
13470,78.3
23555,61.1
17633,86.3
11972,48.7
28193,33.8
16888,99.9
21667,70.3
5353,46.6
20525,99.9
18116,74.4
24537,99.9
13166,70.5
28149,62.5
10298,51.5
10491,30.4
14286,99.9
21362,49.8
26313,25.4
26639,95.6
22734,17.9
17596,82.4
17937,49.7
28084,99.9
4899,33.4
874,65.4
21416,46.8
16985,99.9
26473,59.9
16447,99.9
21404,49.7
27804,63.2
26014,99.9
1578,74.2
11957,48.0
28533,87.9
6146,92.6
5487,39.0
10829,89.4
15057,99.9
22358,80.6
17959,49.2
26788,48.4
8075,99.9
14707,34.3
14306,99.9
15234,58.6
21410,50.5
9194,49.3
12033,74.9
7762,65.9
12156,99.9
18951,84.9
6932,31.7
19526,75.7
10191,99.9
17773,97.3
11543,99.9
25154,99.9
19865,82.8
19285,41.6
2559,99.9
9554,68.5
25821,85.6
27381,99.9
22274,56.5
12374,99.9
19785,88.1
26463,57.7
22822,16.8
7716,59.1
15524,51.1
14499,99.9
8090,99.9
26548,82.7
12283,99.9
4546,53.0
12158,99.9
18819,66.2
28357,42.5
24599,99.5
20223,77.1
22687,20.5
13024,99.9
25398,58.7
22729,20.3
17455,76.4
7795,82.5
4,5.31
12877,99.9
12570,51.4
19946,89.2
2094,26.5
7430,71.2
381,9.99
16381,99.9
13315,36.7
10606,70.9
3686,99.9
4416,39.0
5587,42.7
618,9.52
2402,56.6
1110,99.9
5780,80.2
18174,80.3
3002,84.5
22733,20.8
12629,49.6
16216,99.9
9303,89.2
23464,38.4
16324,99.9
18716,44.5
15247,51.1
7877,99.9
4725,29.8
4120,49.2
27252,93.3
10601,67.5
960,89.3
6535,99.9
24033,25.7
12849,99.9
3216,64.5
501,9.99
27259,94.2
12447,76.5
4179,74.8
9209,56.1
2117,25.2
23896,99.9
22039,51.3
7168,59.4
25475,28.1
1605,73.9
11398,71.7
26247,20.0
3873,98.4
321,9.99
2959,67.1
20306,89.3
4987,52.5
26533,82.9
6400,99.9
6355,99.9
3963,64.6
20278,80.5
16931,99.9
24049,32.4
6115,94.0
6319,99.9
4831,31.4
7237,74.3
4570,56.4
3531,79.1
8331,58.2
12323,99.9
4442,49.3
12663,66.6
18974,87.8
23944,49.5
23659,91.1
16983,99.9
9144,39.0
6084,90.8
426,9.99
16019,83.4
4719,28.1
267,9.34
22996,73.3
23973,40.4
21510,50.7
17361,65.1
6934,32.6
23381,17.0
11493,94.6
8083,99.9
27643,15.6
21498,50.0
19299,44.2
17877,60.4
25238,95.8
