,air_temperature_1h
12777,-3.3
7292,-13.7
28305,12.4
5850,-11.7
19902,1.4
17654,2.4
5865,-11.1
17271,6.0
24195,4.2
14621,4.0
13378,3.2
4341,-3.2
7651,-0.7
20911,3.2
2420,-8.1
3689,-5.6
15229,1.9
28276,11.3
3217,-3.3
23836,-9.4
27094,1.4
22686,4.3
17286,5.8
6452,-8.3
14594,1.2
22913,-4.0
27647,13.1
6331,-6.8
22106,7.3
13178,4.0
13699,-5.0
21795,3.7
10718,-7.0
19853,0.0
25641,2.9
9979,-5.3
18749,5.2
13863,3.2
17490,3.0
10160,-8.4
9499,-0.8
25549,8.6
777,3.2
27435,-7.0
8571,-0.8
17207,2.4
10463,2.5
21774,4.2
28205,8.3
21926,2.7
20818,8.0
20080,4.8
20419,-3.8
13025,-7.4
16952,-5.6
39,9.98
2123,-0.7
17796,3.8
24344,1.7
23606,-5.6
27426,-7.4
4916,-13.6
27681,12.9
20296,-1.7
4315,-2.2
18266,2.5
10896,-5.3
12929,-6.3
477,9.35
8359,2.5
648,10.0
1060,-7.9
11116,4.3
12850,-5.1
21839,3.2
22170,4.5
8474,-1.0
26574,-6.3
27444,-6.6
7061,-8.1
11528,-9.4
13664,-5.0
2771,-1.5
8589,-2.0
3036,-6.6
25044,-1.2
4141,3.8
7034,-7.8
23820,-9.1
17488,3.0
25322,-1.3
5503,-5.8
1979,-0.7
21302,3.3
22436,-5.5
26864,5.5
769,3.3
28284,11.8
25411,7.3
2863,0.4
26544,-5.5
11473,-8.4
10289,-0.5
13909,5.3
12026,-1.8
27268,-5.6
9604,5.8
25905,-5.5
9903,-2.3
19094,-3.0
22863,-3.0
8394,2.4
24864,8.6
28140,0.9
15287,6.3
20395,-4.6
10759,-6.1
26272,6.2
13516,-2.8
2884,0.2
18972,-3.7
11884,5.0
12164,-6.8
2348,-5.5
8731,-4.0
25872,-3.7
23516,-2.5
26085,2.2
4119,5.3
18336,0.5
4212,0.7
21933,2.7
26383,-0.4
7595,-0.4
19536,-1.0
22570,-6.0
19997,4.0
17168,-1.8
11788,3.7
6520,-11.9
4377,-4.3
2073,-1.0
8081,-12.4
18990,-3.8
12300,-8.9
13106,-3.4
5798,-12.6
19926,2.4
16801,-3.3
8302,2.9
20831,7.3
25320,-1.7
25075,-1.8
21421,7.1
10434,2.9
2511,-10.6
22787,4.7
4183,1.4
124,9.85
24885,7.0
16454,-1.0
21087,1.2
21599,4.7
14211,-2.5
25031,-0.8
8260,0.0
21257,2.2
12868,-5.6
15576,5.8
10865,-5.0
28368,10.9
2197,-0.2
535,9.24
27294,-6.0
19065,-2.7
12828,-5.0
27163,-2.5
27067,4.0
16512,1.0
3150,-5.6
15915,6.3
904,-3.5
3094,-6.1
7143,-10.9
8649,-3.5
10962,-3.7
1615,0.9
19994,4.2
8792,-6.1
6024,-9.3
6070,-7.0
11575,-10.1
6857,-3.7
22752,4.0
21574,4.5
20439,-4.6
27027,6.8
9168,-1.2
20152,4.3
4956,-14.4
995,-6.8
21033,0.9
21047,1.4
20612,2.0
5601,-10.4
17997,9.6
6411,-7.3
15471,4.5
5307,-18.2
10278,-1.5
23850,-9.4
279,9.7
20599,0.5
10357,1.5
1856,1.2
18806,1.7
26032,-3.2
20656,5.3
26818,2.9
3663,-4.8
27811,0.5
19653,-1.0
16046,2.4
21360,6.0
22055,7.1
12034,-2.7
21786,4.0
13471,-1.5
7166,-10.7
14829,-1.2
11208,2.0
24663,2.5
18331,0.9
7390,-16.4
21550,4.8
15415,8.8
1622,0.0
20736,9.8
7744,-3.5
24335,1.5
10794,-5.6
14425,-3.0
12500,4.7
24913,5.3
19624,-0.7
3495,-1.0
7840,-8.3
7099,-9.3
11498,-8.9
3184,-4.6
25097,-2.5
11309,-4.1
7930,-10.1
18334,0.7
4997,-15.4
8436,0.2
8435,0.2
18357,-0.7
15925,6.6
11984,0.4
3221,-3.0
10639,-5.5
4253,-0.4
10618,-4.6
12950,-6.8
18254,2.7
17701,1.7
27459,-4.3
26826,3.3
28480,2.8
2749,-3.3
7835,-8.4
15457,5.8
13776,-5.5
9546,4.3
15414,8.8
14393,-5.3
27878,-2.7
8943,2.4
19008,-3.7
23846,-9.4
10947,-4.6
6979,-6.1
5552,-6.5
691,10.19
6805,-3.3
3972,2.5
11756,1.7
22394,-4.3
327,9.67
13717,-5.5
674,10.17
20988,-0.5
25588,6.3
7735,-3.5
23598,-5.3
14021,7.5
14309,-4.5
21870,2.7
26654,-7.3
10788,-5.6
17785,2.7
17891,8.0
26158,5.8
7193,-11.4
10949,-4.5
15029,-6.6
19960,1.5
1828,0.5
23763,-8.6
2072,-0.8
3468,-0.2
26719,-8.8
21909,2.5
28079,-6.6
27221,-4.1
23184,-8.3
1033,-7.4
19954,1.4
13750,-5.6
11020,-0.5
9480,-0.7
1332,-3.7
7616,-0.8
17699,1.7
22928,-4.0
10574,-2.7
9834,0.0
3847,-4.1
2265,-2.8
23558,-3.2
21111,1.5
25957,-7.1
18913,-1.7
2024,-1.5
20791,9.0
1586,1.4
8794,-6.0
13418,0.4
15503,3.8
5456,-7.9
16355,-2.5
27072,3.8
11769,2.2
25137,-2.8
9787,1.7
4284,-1.2
2867,0.4
3766,-4.5
7238,-12.9
14273,-3.8
22384,-3.7
27969,-5.3
18872,-0.5
24392,-0.8
19426,7.6
20722,9.1
5954,-10.1
1018,-7.4
9555,4.7
1287,-8.6
24224,2.9
27638,12.4
15082,-7.1
17736,1.0
1016,-7.4
28441,4.8
17478,2.9
22595,-3.2
8140,-9.3
26770,-0.5
18787,2.7
24552,-6.1
8408,2.7
1081,-8.6
12040,-2.2
21761,4.2
23328,2.4
16081,0.0
18390,-1.7
7012,-7.1
569,9.24
266,9.68
20457,-4.8
9408,1.2
17230,3.5
24865,8.5
12955,-6.5
23001,-7.1
25032,-0.8
26387,-0.2
22441,-5.8
19389,6.6
3516,-2.5
3949,0.7
24454,-4.1
8486,-0.2
23094,-8.9
249,9.68
17706,2.4
25693,0.4
8523,0.5
16849,-4.0
7921,-9.6
24567,-6.0
11605,-10.6
11097,3.3
9368,2.2
23512,-2.8
5605,-10.7
8044,-11.4
19519,-0.7
2752,-2.7
11248,-0.8
3691,-5.5
12549,6.5
14745,7.1
14977,-5.8
20703,8.1
4128,4.7
17777,2.0
19186,-1.5
24328,1.7
15705,1.2
6059,-7.1
12231,-7.9
7995,-12.1
2539,-11.6
21184,1.4
20768,9.5
15693,1.2
20154,4.2
25335,0.9
6382,-6.8
14970,-5.6
1917,1.2
17305,6.8
18118,4.2
25176,-2.5
6151,-5.3
7668,-1.7
4995,-15.4
26652,-7.3
16163,-2.8
14785,1.4
1198,-9.4
20291,-2.0
14831,-1.5
11875,4.8
6426,-7.1
1883,1.2
10816,-5.5
20219,1.0
7303,-14.7
17319,6.6
21083,1.0
9134,0.7
7096,-9.3
1870,1.4
17957,9.3
20258,-0.7
5420,-10.3
1820,0.5
8187,-4.8
1837,0.9
9479,-0.7
11787,3.7
21084,1.2
963,-5.8
13425,0.4
13385,2.7
27064,4.2
937,-4.6
18586,5.5
23704,-7.8
956,-4.8
435,9.45
28490,2.7
25674,0.9
24402,-1.8
25353,2.7
6025,-9.1
7029,-7.8
24624,0.0
25364,3.8
24154,7.0
8674,-4.1
11090,3.0
14190,-1.3
9154,-0.4
11717,-0.8
71,9.95
27247,-5.0
10992,-1.8
688,10.2
10545,-1.7
18205,3.0
25614,4.3
26622,-7.0
25127,-3.0
15805,5.2
26183,6.2
16090,0.0
13691,-5.1
20140,5.0
15167,-6.3
8981,3.0
18141,2.7
1094,-8.6
17254,4.3
12202,-7.4
17702,1.7
366,9.52
21079,1.2
12494,4.0
11337,-4.1
12411,-3.0
2057,-0.7
20565,-3.3
17045,-6.3
17943,9.5
21513,6.8
8645,-3.3
11009,-0.5
11712,-2.0
13622,-5.5
1463,4.0
21712,4.3
786,3.0
27882,-2.8
23481,-1.8
13997,7.5
5960,-10.1
1925,1.0
24097,8.8
28112,-4.3
9449,0.7
9693,7.0
453,9.47
15620,5.2
21730,5.2
8740,-4.1
22771,3.7
27263,-5.3
23998,4.5
1254,-9.8
1167,-8.8
10221,-7.6
8368,2.2
8715,-3.2
17161,-2.2
21973,4.2
17145,-2.8
28556,3.0
8609,-1.5
16623,5.7
3126,-6.1
738,2.9
12586,6.3
14779,1.9
11520,-9.3
25367,4.3
24805,9.8
21901,2.5
3047,-6.3
12774,-3.0
22872,-2.8
15607,5.5
15221,0.7
1343,-2.3
18026,8.5
24088,8.8
21448,7.5
24243,1.7
5445,-8.3
12255,-8.1
16002,4.8
18991,-3.8
13694,-5.1
26743,-6.0
14844,-2.0
4500,-10.4
15616,5.2
23549,-3.8
1118,-9.1
22175,4.3
13890,4.5
7626,-0.8
22363,-3.5
13784,-6.1
19007,-3.5
10560,-2.0
27934,-4.6
3764,-4.5
24861,8.6
4737,-11.4
8822,-7.9
23533,-3.5
13613,-5.0
17285,5.8
27709,8.1
19288,6.5
12276,-8.6
24824,9.5
17112,-4.0
13412,0.9
15071,-7.4
25803,-3.0
16963,-5.5
13916,6.0
2513,-10.6
24667,3.2
4193,1.2
19903,1.4
17830,6.3
8390,2.4
12936,-6.5
5482,-7.1
23806,-8.9
20717,9.0
19093,-3.0
18207,3.0
21950,3.0
3333,0.9
10312,0.2
7961,-11.1
1220,-9.8
19642,-1.0
23372,4.7
6064,-7.3
25221,-0.8
25206,-0.7
18309,0.9
13536,-3.7
2557,-11.9
10095,-8.3
23086,-8.9
16815,-3.8
7126,-9.8
24163,6.5
10420,2.9
2001,-1.0
11395,-6.0
3911,-3.8
24746,7.1
13708,-5.0
25815,-3.5
18661,6.8
16959,-5.5
23857,-9.6
27712,7.5
4278,-1.0
4309,-2.0
20234,0.4
13774,-5.5
15498,3.5
6835,-4.0
26941,9.6
13636,-5.6
15733,1.9
23899,-5.6
20345,-4.0
25242,-1.0
11109,4.0
8127,-12.1
6052,-7.9
26877,6.5
12823,-4.5
9638,6.6
11274,-1.8
20843,7.1
15293,7.3
28138,0.7
13246,8.3
26787,0.5
18085,6.2
4640,-13.6
21127,1.4
17999,9.9
16826,-4.3
3018,-5.8
8660,-3.7
19028,-4.0
25210,-0.7
21889,2.5
21677,4.5
2558,-12.1
8111,-13.1
5309,-17.7
18064,6.5
9566,5.2
23715,-7.9
3708,-5.3
17762,1.4
8356,2.5
16357,-2.5
15105,-6.6
26855,4.5
26503,-4.1
675,10.17
24020,5.8
25973,-7.6
19145,-3.2
22226,1.4
2450,-8.6
15148,-6.8
11643,-10.4
26774,-0.2
28519,3.0
14243,-3.3
5128,-17.7
24696,5.2
16156,-2.8
15367,10.3
16891,-5.0
11039,0.4
487,9.35
23239,-0.7
27796,1.4
27656,12.4
26681,-8.1
25292,-3.0
16111,-1.0
15262,4.7
21755,4.3
16862,-4.3
20785,8.5
28199,7.8
7130,-10.3
16791,-2.8
18757,4.7
16076,0.2
12634,5.3
18766,4.0
22844,2.9
15549,6.2
13343,7.3
1996,-1.2
27827,-1.2
26284,6.2
9246,-5.3
22955,-5.1
13696,-5.1
5471,-7.1
14133,-0.5
27390,-7.1
19452,5.3
23760,-8.6
15682,2.0
7152,-10.7
3087,-6.3
19210,1.7
17622,2.5
25019,-0.5
2641,-12.7
24012,5.8
18666,6.3
5752,-13.1
1278,-9.1
16553,5.3
10125,-6.6
1876,1.4
12368,-8.4
18379,-1.7
261,9.68
4918,-13.7
26015,-7.0
15102,-6.8
21454,7.6
15728,1.7
12183,-7.4
15276,5.5
14741,7.6
8627,-2.7
22291,0.0
25383,5.3
28575,3.0
1579,1.2
22699,4.7
1606,1.2
1208,-9.4
26812,2.7
5161,-18.5
718,2.5
20251,-0.2
26760,-2.2
23759,-8.6
16566,4.8
26600,-6.8
16485,-0.4
23988,4.3
9115,2.4
6236,-5.1
20044,4.2
16774,-3.2
18198,3.0
7569,-1.7
7189,-11.6
276,9.7
22832,2.5
4745,-11.4
19062,-2.7
25418,8.0
18956,-3.5
5156,-18.2
6,9.92
8458,-0.2
2756,-2.2
22353,-2.8
15396,9.1
8480,-0.2
24149,7.3
3621,-3.5
8212,-2.8
26129,4.3
25231,-0.7
2906,-0.4
6530,-12.6
26477,-3.5
11213,1.9
16459,-0.8
27088,1.9
16343,-2.5
6662,-15.7
24358,0.7
14947,-3.3
19100,-3.2
14731,8.0
14338,-4.6
10131,-7.4
26143,5.0
10513,-1.2
7318,-14.9
15537,6.2
15236,2.9
14757,4.2
13325,8.0
21962,3.7
28350,11.6
1202,-9.4
8062,-11.7
23193,-6.1
20981,-0.5
26773,0.0
1878,1.4
10056,-7.4
15464,5.2
25705,-0.4
6769,-4.6
4474,-9.3
7274,-13.6
6643,-14.5
23852,-9.4
2551,-11.7
18270,2.2
9948,-4.3
27172,-3.2
11860,5.2
2869,0.4
22156,5.8
7858,-8.6
11456,-7.9
18567,3.2
18660,7.0
12572,7.0
23137,-9.6
4758,-11.1
7785,-5.8
28518,2.9
14696,8.6
22573,-5.5
2300,-4.8
18952,-3.2
13448,-0.5
8009,-12.4
10882,-5.1
2088,-1.3
4495,-10.3
15867,5.8
26947,9.5
20199,0.9
23216,-2.7
7606,-0.8
19710,-0.8
23809,-9.1
2381,-6.8
9364,2.2
23403,4.7
20231,0.0
16140,-2.0
3667,-5.1
9071,3.8
26935,8.3
25148,-3.2
22653,3.2
20067,4.7
24635,1.4
17273,6.2
14966,-5.5
7044,-7.6
11338,-4.0
4018,4.8
4171,1.9
21620,4.5
21853,3.0
16740,-2.2
6189,-5.0
14976,-5.8
28143,1.7
13881,4.3
19580,-1.8
13576,-4.5
13995,7.1
24229,2.9
11482,-8.6
8539,0.0
20935,2.0
22586,-4.8
10233,-6.0
25975,-7.6
8648,-3.5
15822,5.2
23633,-6.6
25715,-1.5
12902,-5.8
27217,-4.3
15391,9.6
21122,1.5
5734,-12.9
11089,2.9
26845,4.3
26817,3.0
13165,2.5
10993,-1.5
27239,-4.8
11176,3.8
10071,-7.8
1092,-8.6
19728,-0.2
27323,-6.6
22591,-4.3
8892,-0.4
10604,-3.7
18410,-3.0
902,-3.2
6061,-7.1
4746,-11.6
21265,2.2
26990,9.6
116,9.88
2952,-5.0
8281,2.0
19005,-3.5
5596,-10.3
13267,8.5
218,9.75
20980,-0.5
1114,-8.9
3166,-5.1
10480,2.2
21258,2.2
28371,10.9
17385,4.7
26171,6.2
27299,-5.8
5190,-19.0
8665,-3.5
28439,4.8
16011,4.3
5218,-19.3
23315,2.2
12229,-7.9
27229,-4.6
27135,-1.7
20954,0.2
18525,2.5
5417,-10.7
12069,-3.7
17628,2.4
6431,-7.1
22258,0.5
23591,-5.1
17391,4.2
27433,-6.6
13231,7.8
15207,-1.3
10476,2.2
11642,-10.4
12871,-5.6
18144,2.0
26086,2.2
4101,5.8
2271,-3.0
14526,-1.5
24432,-4.0
9622,6.0
25109,-2.3
19261,5.7
11561,-9.6
13012,-6.3
27355,-6.8
11662,-8.1
12090,-4.8
27484,0.2
17209,2.5
1234,-9.8
20197,1.2
28260,11.1
10413,2.7
3908,-4.6
3205,-4.0
7249,-13.2
15553,6.2
17598,2.5
24525,-5.0
17054,-6.3
19085,-2.8
414,9.52
379,9.49
13159,2.4
22423,-5.3
23072,-8.6
135,9.87
12673,0.5
27696,10.4
9039,4.5
14692,8.8
10446,2.5
19719,0.0
18762,4.3
367,9.52
26510,-5.0
11647,-10.3
27758,4.5
10674,-6.1
4838,-10.4
13399,2.0
28179,5.0
6101,-6.3
28564,3.0
10668,-6.0
18875,-0.7
11432,-7.1
12597,6.3
28489,2.7
532,9.26
21023,0.5
1439,3.3
25426,8.3
26949,9.5
5400,-11.4
11676,-6.0
26147,5.3
10447,2.5
23437,4.7
23883,-8.8
19709,-0.8
7078,-8.6
27106,0.7
8278,2.2
20362,-4.5
13644,-5.1
4204,0.9
28071,-6.6
23336,3.3
18606,4.8
23069,-8.4
24463,-4.3
20498,-4.6
8516,0.4
12324,-9.4
13936,6.2
17310,7.0
26869,6.0
9868,-1.7
24489,-3.7
10406,2.5
16064,1.5
20128,5.0
2384,-6.8
5957,-10.1
7952,-10.4
19443,6.2
9107,2.9
17948,9.1
25074,-1.7
8954,2.9
10136,-7.1
14117,0.0
18391,-2.0
15159,-6.8
15784,3.3
7161,-10.3
18843,0.5
22020,6.3
14995,-6.5
15028,-6.6
21386,6.3
27432,-6.6
23565,-4.0
10271,-1.8
1360,-1.3
6325,-6.8
22676,4.2
206,9.77
19329,5.8
9503,-0.2
2456,-8.8
9233,-4.1
751,3.2
21593,4.8
21364,6.2
10501,0.2
17130,-3.3
12773,-3.0
13040,-7.9
7656,-0.8
15360,9.9
27011,9.3
18214,3.2
1300,-7.1
5186,-18.7
14799,0.9
5828,-12.2
25326,-0.8
20013,4.0
28232,9.0
15632,4.0
14739,7.8
9582,6.2
15666,2.9
23060,-7.9
21097,1.5
13907,5.3
20644,5.0
10041,-7.3
7433,-9.3
11755,1.5
14861,-2.8
15970,7.1
13218,6.8
5830,-12.2
9630,6.0
6741,-6.8
13324,8.0
11703,-2.5
26273,6.2
8921,1.9
1193,-9.4
8056,-11.4
835,0.2
2665,-9.4
20343,-4.0
5898,-10.7
21785,4.0
24138,8.1
8450,0.0
18745,5.2
25112,-2.7
26209,7.1
11414,-6.6
13097,-5.0
5668,-12.7
20899,3.2
25104,-1.5
23849,-9.4
6172,-4.6
18775,3.5
13950,6.2
28522,2.9
14213,-2.2
8130,-11.4
19006,-3.5
13091,-5.8
25443,9.3
14958,-5.0
12480,3.5
2044,-0.4
9515,0.5
11567,-9.4
19400,7.1
10449,2.5
2534,-11.2
13952,6.3
3879,-5.3
26246,7.1
10010,-6.8
15826,5.5
14374,-5.5
10658,-5.1
2081,-1.2
1077,-8.4
20672,6.2
19594,-1.5
16932,-5.1
21278,2.7
11941,2.7
5412,-10.9
16030,2.9
17325,6.3
18220,3.0
11369,-5.3
2724,-3.8
9060,4.0
9238,-5.0
12286,-8.8
14467,-2.0
3187,-4.6
10159,-8.4
20331,-3.7
8054,-11.4
3709,-5.3
26632,-7.4
8908,1.0
7182,-11.2
16104,-0.7
20076,4.8
10414,2.5
17712,2.4
4953,-14.4
2995,-6.1
21691,5.0
13176,3.8
17287,5.7
27939,-4.3
15012,-6.3
25290,-2.8
3303,0.0
20124,4.7
4419,-5.6
5857,-11.2
25384,5.5
17228,3.5
4524,-11.7
11195,3.0
21256,2.2
5055,-16.7
25776,-2.8
25129,-2.8
3271,-1.5
8134,-10.9
20741,8.6
27335,-6.3
26930,8.5
9156,-0.8
18333,0.7
7003,-7.1
24007,5.0
8022,-12.2
21475,7.6
2141,-0.8
128,9.85
20587,-0.8
23847,-9.4
1842,0.9
24577,-5.8
22322,-1.0
7565,-1.5
8550,-0.4
21733,5.3
14099,1.5
18986,-3.7
5301,-18.8
6065,-7.3
9027,4.0
21031,0.7
20503,-4.5
6737,-7.3
1743,1.9
129,9.85
25652,2.4
24043,7.1
1240,-9.8
9210,-3.2
15642,3.3
9975,-5.1
18515,1.7
16779,-3.2
5515,-6.0
1565,2.0
19808,-0.4
19933,2.5
18256,2.7
11048,1.0
25474,9.5
21821,3.3
370,9.52
21342,5.0
12493,4.0
20859,4.8
24967,2.4
3736,-4.8
19348,6.8
3134,-6.0
10069,-7.6
5241,-19.3
7809,-7.1
23293,1.2
16095,-0.4
1986,-1.0
21428,7.1
25770,-2.7
26128,4.3
23972,2.9
15548,6.2
27674,13.1
16665,4.3
27703,9.9
13470,-1.3
23555,-3.5
17633,2.2
11972,0.9
28193,7.0
16888,-4.8
21667,4.2
5353,-13.2
20525,-4.1
18116,4.3
24537,-5.6
13166,2.5
28149,3.0
10298,-0.2
10491,1.4
14286,-4.1
21362,6.2
26313,4.0
26639,-7.6
22734,4.2
17596,2.5
17937,9.1
28084,-6.6
4899,-12.7
874,-3.3
21416,7.0
16985,-5.5
26473,-3.0
16447,-0.8
21404,6.8
27804,0.2
26014,-7.1
1578,1.4
11957,1.5
28533,2.4
6146,-5.6
5487,-6.8
10829,-5.3
15057,-7.3
22358,-3.2
