,wind_deg,wind_velocity,air_temperature,r_humidity,surface_tmp,weather,dewpoint,uv
10673,25.0,0.2,-5.3,83.0,-1.7,0,-7.734907896890775,0.0
15729,0.0,0.0,1.2,99.9,4.3,4,1.1860593217157045,0.0
12624,60.0,0.5,6.2,48.4,16.8,0,-3.903259047397933,0.0
16574,12.0,0.6,4.0,86.6,14.0,4,1.9659060723282569,0.0
16479,339.0,0.5,-0.8,99.9,4.6,4,-0.8137133824763078,0.0
18699,55.0,1.0,6.2,48.5,20.2,0,-3.875684208797038,0.0
21546,0.0,0.0,6.6,52.8,9.6,0,-2.363423727044536,0.0
25026,351.0,0.3,0.9,70.2,6.0,0,-3.9210624535849545,0.0
9703,79.0,1.3,6.3,28.7,20.2,0,-10.599560773602533,0.0
25224,0.0,0.0,-1.0,95.3,2.4,4,-1.6569981421892168,0.0
27296,0.0,0.0,-5.5,94.4,0.0,0,-6.257173214841832,0.0
10526,0.0,0.0,0.9,34.6,7.9,0,-13.011574027016781,0.0
25964,0.0,0.0,-6.8,97.0,-2.5,0,-7.196427544081367,0.0
9678,71.0,1.7,6.2,34.4,18.9,0,-8.379076017883627,0.0
1438,338.0,0.3,2.2,55.2,12.5,0,-5.8731811312709885,0.0
25949,0.0,0.0,-6.3,94.0,-2.2,0,-7.107318992484155,0.0
7675,50.0,1.3,-0.5,37.9,9.3,0,-13.137594820208239,0.0
18604,280.0,0.8,4.7,66.7,16.5,0,-0.9729210033351928,0.0
8594,85.0,0.9,-0.7,70.3,-2.6,0,-5.4398936878978885,0.0
12042,80.0,0.7,-2.0,66.3,1.8,0,-7.451661434225214,0.0
23340,17.0,1.2,2.5,26.1,21.7,0,-15.064269170161849,0.0
602,0.0,0.0,9.26,9.99,-4.2,4,-20.899052522117657,0.0
6382,338.0,0.1,-6.8,99.9,-2.5,0,-6.813042703837756,0.0
5604,0.0,0.0,-8.1,39.7,0.6,0,-19.43699881207236,0.0
23149,250.0,0.4,-9.6,99.0,-5.2,0,-9.727868707585543,0.0
8291,281.0,2.3,0.0,65.5,9.4,0,-5.701283630068513,0.0
6752,221.0,0.7,-10.6,99.9,-7.7,4,-10.612626636873317,0.0
24854,22.0,0.5,9.5,31.4,25.5,0,-6.653100970531616,0.0
2432,28.0,0.2,-6.6,56.6,-3.8,0,-13.806207174570654,0.0
1709,281.0,1.3,2.0,72.0,3.2,0,-2.5225556272665126,0.0
22079,272.0,2.1,6.6,53.9,23.3,0,-2.0841005675186026,0.0
27032,47.0,0.4,9.8,21.9,20.6,0,-11.012007157473269,0.0
22961,41.0,0.2,-4.1,49.9,-1.5,0,-13.024695826923486,0.0
20267,62.0,1.0,0.4,76.9,3.2,0,-3.182671007459728,0.0
